N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,액면가,전일거래량,시가,매도호가,자산총계,영업이익증가율,액면가,고가,매수총잔량,부채총계,당기순이익,외국인비율,액면가,저가,매도총잔량,상장주식수,매출액,주당순이익,액면가,보통주배당금
73,레이크머티리얼즈,"12,520",하락,30,-0.24%,100,"204,627","2,577","12,510","8,229",222,44.56,100,"318,138","12,600","12,520","3,513",-24.93,100,"12,870","7,519","2,200",210,7.07,100,"12,350","1,597","65,731","1,387",281,100,50
74,에스앤에스텍,"37,800",상승,"3,400",+9.88%,500,"434,286","16,228","37,750","8,109",295,23.35,500,"114,526","34,450","37,800","2,970",17.73,500,"38,750","3,901",502,303,9.09,500,"34,150","14,641","21,451","1,760","1,619",500,150
75,에스에프에이,"22,150",상승,350,+1.61%,500,"46,688","1,030","22,150","7,954",-484,-9.65,500,"77,106","21,900","22,200","24,796",-154.44,500,"22,300","52,801","9,572",-321,9.07,500,"21,800","7,818","35,909","20,454","-2,296",500,270
76,피엔티,"32,850",상승,700,+2.18%,500,"199,061","6,540","32,800","7,800","1,632",7.13,500,"177,114","32,150","32,850","16,203",112.19,500,"33,450","8,402","9,957","1,422",4.02,500,"32,050","6,360","23,743","10,351","4,605",500,100
77,유진테크,"34,000",상승,"1,050",+3.19%,500,"200,762","6,825","33,950","7,791",612,12.01,500,"130,734","33,600","34,000","5,395",151.49,500,"34,500","2,980","1,038",654,30.85,500,"33,050","9,481","22,916","3,381","2,831",500,230
78,동국제약,"17,250",상승,210,+1.23%,500,"175,571","3,029","17,250","7,742",804,13.46,500,"156,247","17,000","17,260","9,532",20.26,500,"17,410","1,961","2,742",623,14.39,500,"16,950","1,815","44,884","8,122","1,282",500,200
79,솔브레인홀딩스,"36,000",상승,50,+0.14%,500,"82,405","2,952","36,000","7,547",853,15.95,500,"262,868","35,700","36,300","19,966",-29.47,500,"36,750","1,826","5,055",557,5.08,500,"35,050","3,327","20,964","5,154","2,257",500,220
80,하나마이크론,"11,200",상승,350,+3.23%,500,"987,068","11,075","11,190","7,422","1,068",-78.87,500,"851,744","10,900","11,200","19,446",84.43,500,"11,450","7,778","13,388",-112,10.19,500,"10,750","8,091","66,272","12,507",-142,500,70
81,LS머트리얼즈,"10,780",상승,250,+2.37%,500,"197,244","2,120","10,780","7,293",62,234.35,500,"242,491","10,700","10,790","2,531",-54.33,500,"10,900","2,548",460,57,4.02,500,"10,530","9,636","67,653","1,421",46,500,N/A
82,태성,"23,750",상승,"1,150",+5.09%,100,"292,432","6,863","23,750","7,244",60,276.16,100,"235,878","22,850","23,800",796,980.50,100,"23,950","7,094",386,60,3.74,100,"22,450","20,991","30,501",592,86,100,0
83,HLB생명과학,"5,860",상승,30,+0.51%,500,"202,155","1,186","5,850","7,144",-248,-3.54,500,"469,841","5,850","5,860","5,390",-1.17,500,"5,910","72,977","1,402",62,9.73,500,"5,810","23,336","121,917","1,022","-1,657",500,0
84,안랩,"64,100",상승,"1,000",+1.58%,500,"65,315","4,175","64,000","7,132",277,19.16,500,"52,207","63,000","64,100","4,647",4.77,500,"64,500","5,613",959,324,31.98,500,"63,000","5,965","11,127","2,606","3,346",500,"1,300"
85,피에스케이홀딩스,"33,000",상승,"1,200",+3.77%,500,"276,410","9,201","33,000","7,116",885,7.69,500,"143,673","32,350","33,050","5,136",228.07,500,"34,150","8,754",821,958,4.00,500,"31,750","2,006","21,562","2,155","4,289",500,700
86,펌텍코리아,"57,100",상승,900,+1.60%,500,"63,785","3,582","57,000","7,080",484,19.87,500,"54,538","56,600","57,100","4,076",37.15,500,"57,100",268,869,383,15.20,500,"55,300","2,716","12,400","3,375","2,873",500,420
87,현대힘스,"19,580",하락,360,-1.81%,500,"676,232","13,273","19,570","6,936",215,38.85,500,"917,633","20,050","19,580","3,265",48.99,500,"20,400","23,473",930,166,1.61,500,"19,290","4,173","35,425","2,232",504,500,100
88,아난티,"7,810",상승,200,+2.63%,100,"4,209,810","33,480","7,810","6,922",8,-41.76,100,"2,450,667","7,590","7,820","16,224",-99.70,100,"8,200","49,028","9,110",-324,7.21,100,"7,530","31,083","88,629","2,852",-187,100,N/A
89,SAMG엔터,"78,800",보합,0,0.00%,500,"119,430","9,358","78,700","6,911",-61,-93.59,500,"122,881","79,100","78,800",974,35.14,500,"81,400","2,719",666,-194,18.23,500,"77,500","4,931","8,771","1,164",-842,500,N/A
90,심텍,"21,300",상승,"3,230",+17.87%,500,"2,152,364","44,216","21,250","6,785",-470,-13.38,500,"225,588","18,360","21,300","14,433",46.70,500,"21,900","99,376","9,948",-310,5.01,500,"18,160","36,789","31,854","12,314","-1,592",500,100
91,LS마린솔루션,"20,450",상승,350,+1.74%,"1,000","193,356","3,919","20,450","6,681",124,40.66,"1,000","542,774","20,550","20,500","2,543",N/A,"1,000","20,650","19,440",461,132,3.53,"1,000","20,000","12,888","32,669","1,303",503,"1,000",160
92,다우데이타,"17,350",상승,210,+1.23%,500,"286,313","4,917","17,350","6,645","12,059",4.59,500,"418,792","17,350","17,360","577,571",80.54,500,"17,390","2,866","512,862","8,659",10.52,500,"16,890","10,162","38,300","121,361","3,783",500,450
93,코미코,"63,400",상승,"2,600",+4.28%,500,"210,888","13,421","63,400","6,632","1,125",11.56,500,"173,171","61,300","63,500","8,003",240.50,500,"65,000","3,735","4,246",878,20.12,500,"60,300","1,268","10,461","5,071","5,483",500,"1,000"
94,비츠로셀,"28,700",하락,250,-0.86%,500,"114,114","3,262","28,600","6,564",519,12.52,500,"70,864","29,000","28,700","3,179",37.73,500,"29,100","4,213",348,513,29.35,500,"28,150","3,384","22,872","2,108","2,292",500,460
95,HLB테라퓨틱스,"7,750",상승,60,+0.78%,500,"277,886","2,171","7,740","6,539",-76,-23.70,500,"356,359","7,780","7,750","2,198",12.63,500,"7,980","12,043",379,-235,5.86,500,"7,700","5,311","84,371",549,-327,500,0
